site,n_storeys,theta,beta,theta_bc,beta_bc
13,3,0.3699347195121079,0.1762573547741561,0.3699347195121079,0.18033939489565426
13,5,0.352807661940145,0.1805098375278922,0.352807661940145,0.18344910740446932
14,3,0.3762726826745597,0.1816115082450114,0.3762726826745597,0.18512102163198701
14,5,0.352807661940145,0.1805098375278922,0.352807661940145,0.18344910740446932
15,3,0.3767637686891061,0.1836179577753137,0.3767637686891061,0.18680262594708785
15,5,0.352807661940145,0.1805098375278922,0.352807661940145,0.18344910740446932
16,3,0.3969159424570298,0.1857220749445079,0.3969159424570298,0.18829993618657884
16,5,0.352807661940145,0.1805098375278922,0.352807661940145,0.18344910740446932
17,3,0.4465641685731704,0.166596500464987,0.4465641685731704,0.16837554087595646
17,5,0.416174761134514,0.1702205979112404,0.416174761134514,0.17267396647404304
18,3,0.4841065565059645,0.1858806395959118,0.4841065565059645,0.18852408334975887
18,5,0.4430250997111125,0.191514849796215,0.4430250997111125,0.19471211584151502
19,3,0.4083971673241119,0.2154459440856429,0.4083971673241119,0.21778849201899167
19,5,0.352807661940145,0.1805098375278922,0.352807661940145,0.18344910740446932
20,3,0.376361573307946,0.1813396543927144,0.376361573307946,0.18465221700895235
20,5,0.352807661940145,0.1805098375278922,0.352807661940145,0.18344910740446932
21,3,0.4465641685731704,0.166596500464987,0.4465641685731704,0.16837554087595646
21,5,0.4576192461911596,0.1732959312535757,0.4576192461911596,0.17695709959901276
22,3,0.376361573307946,0.1813396543927144,0.376361573307946,0.18465221700895235
22,5,0.352807661940145,0.1805098375278922,0.352807661940145,0.18344910740446932
23,3,0.3969159424570298,0.1857220749445079,0.3969159424570298,0.18829993618657884
23,5,0.352807661940145,0.1805098375278922,0.352807661940145,0.18344910740446932
24,3,0.4841065565059645,0.1858806395959118,0.4841065565059645,0.18852408334975887
24,5,0.4430250997111125,0.191514849796215,0.4430250997111125,0.19471211584151502
25,3,0.4083971673241119,0.2154459440856429,0.4083971673241119,0.21778849201899167
25,5,0.3265963786036838,0.1865473725159651,0.3265963786036838,0.19149012286690661
26,3,0.4083971673241119,0.2154459440856429,0.4083971673241119,0.21778849201899167
26,5,0.3265963786036838,0.1865473725159651,0.3265963786036838,0.19149012286690661
27,3,0.4083971673241119,0.2154459440856429,0.4083971673241119,0.21778849201899167
27,5,0.352807661940145,0.1805098375278922,0.352807661940145,0.18344910740446932
28,3,0.3699347195121079,0.1762573547741561,0.3699347195121079,0.18033939489565426
28,5,0.352807661940145,0.1805098375278922,0.352807661940145,0.18344910740446932
29,3,0.4083971673241119,0.2154459440856429,0.4083971673241119,0.21778849201899167
29,5,0.352807661940145,0.1805098375278922,0.352807661940145,0.18344910740446932
30,3,0.4739365077342445,0.2136555062261143,0.4739365077342445,0.21649134328199346
30,5,0.5973845865882342,0.190770448578886,0.5973845865882342,0.19558430498242527
31,3,0.8136924878918566,0.263033146175631,0.8136924878918566,0.26909966456072115
31,5,0.6304245256826175,0.191006560245823,0.6304245256826175,0.19745134638640557
32,3,0.4643856706258773,0.1726233608163767,0.4643856706258773,0.17455730849099452
32,5,0.4022143437794156,0.2049880064808388,0.4022143437794156,0.20821493299520943
33,3,0.4643856706258773,0.1726233608163767,0.4643856706258773,0.17455730849099452
33,5,0.4683776448939102,0.1821411043257859,0.4683776448939102,0.18538142748590417
34,3,0.8136924878918566,0.263033146175631,0.8136924878918566,0.26909966456072115
34,5,0.7032829204436798,0.1928849260877313,0.7032829204436798,0.19647769236945462
35,3,0.4511536267838207,0.1749996142528803,0.4511536267838207,0.176593751446012
35,5,0.4022143437794156,0.2049880064808388,0.4022143437794156,0.20821493299520943
36,3,0.4643856706258773,0.1726233608163767,0.4643856706258773,0.17455730849099452
36,5,0.4022143437794156,0.2049880064808388,0.4022143437794156,0.20821493299520943
37,3,0.4712841966981388,0.2168666719939885,0.4712841966981388,0.21961458245039045
37,5,0.6074385215342876,0.2136232764310429,0.6074385215342876,0.21800663218047825
38,3,0.898774045116336,0.3285801716461894,0.898774045116336,0.34331110534074055
38,5,0.7440224310585534,0.1740607275699009,0.7440224310585534,0.17698441451583727
39,3,0.4511536267838207,0.1749996142528803,0.4511536267838207,0.176593751446012
39,5,0.4322301188697793,0.2222243518760776,0.4322301188697793,0.22542339847099147
40,3,0.4667754812330345,0.2092235262510548,0.4667754812330345,0.21234385448838455
40,5,0.4240842545272876,0.1933737819592512,0.4240842545272876,0.19656988320391153
41,3,0.6086774313367977,0.2247975860034676,0.6086774313367977,0.22944660762419283
41,5,0.5261363571173163,0.2257370442393368,0.5261363571173163,0.228507846777175
42,3,0.572280340002846,0.233271558697073,0.572280340002846,0.23556096220261655
42,5,0.5735075169901865,0.2032739053892549,0.5735075169901865,0.206597898527437
43,3,0.8136924878918566,0.263033146175631,0.8136924878918566,0.26909966456072115
43,5,0.6304245256826175,0.191006560245823,0.6304245256826175,0.19745134638640557
44,3,0.6097461882181339,0.2353207646105712,0.6097461882181339,0.24105202946648643
44,5,0.7326351675219026,0.1946441041700072,0.7326351675219026,0.20216210954770908
45,3,0.6338901683376298,0.2105355569174887,0.6338901683376298,0.21418066586836323
45,5,0.610215598418688,0.2061197388861123,0.610215598418688,0.20940213671081506
46,3,0.6097461882181339,0.2353207646105712,0.6097461882181339,0.24105202946648643
46,5,0.7326351675219026,0.1946441041700072,0.7326351675219026,0.20216210954770908
47,3,0.6338290333020326,0.2067341186794097,0.6338290333020326,0.21064590889114806
47,5,0.5261363571173163,0.2257370442393368,0.5261363571173163,0.228507846777175
48,3,0.7940736910604445,0.2601993613652058,0.7940736910604445,0.2679365777812022
48,5,0.6221889791293286,0.1986071248762412,0.6221889791293286,0.2031404537961264
49,3,0.6097461882181339,0.2353207646105712,0.6097461882181339,0.24105202946648643
49,5,0.6709949908922497,0.2185721572913561,0.6709949908922497,0.2214793874298215
50,3,0.4643856706258773,0.1726233608163767,0.4643856706258773,0.17455730849099452
50,5,0.4687117474463652,0.2073781104420911,0.4687117474463652,0.21043497095715374
51,3,0.7940736910604445,0.2601993613652058,0.7940736910604445,0.2679365777812022
51,5,0.6327445584652961,0.2126040953296626,0.6327445584652961,0.22047021361944372
52,3,0.6338901683376298,0.2105355569174887,0.6338901683376298,0.21418066586836323
52,5,0.610215598418688,0.2061197388861123,0.610215598418688,0.20940213671081506
53,3,0.8122218081818791,0.2598653006910157,0.8122218081818791,0.2661782886698029
53,5,0.7032829204436798,0.1928849260877313,0.7032829204436798,0.19647769236945462
54,3,0.6086774313367977,0.2247975860034676,0.6086774313367977,0.22944660762419283
54,5,0.5261363571173163,0.2257370442393368,0.5261363571173163,0.228507846777175
55,3,0.6027478672981784,0.2424701835291614,0.6027478672981784,0.2479071895442347
55,5,0.5261363571173163,0.2257370442393368,0.5261363571173163,0.228507846777175
56,3,0.572280340002846,0.233271558697073,0.572280340002846,0.23556096220261655
56,5,0.5735075169901865,0.2032739053892549,0.5735075169901865,0.206597898527437
57,3,0.6086774313367977,0.2247975860034676,0.6086774313367977,0.22944660762419283
57,5,0.5261363571173163,0.2257370442393368,0.5261363571173163,0.228507846777175
58,3,0.4511536267838207,0.1749996142528803,0.4511536267838207,0.176593751446012
58,5,0.4322062909099658,0.2224900854498037,0.4322062909099658,0.2256876900696779
59,3,0.8136924878918566,0.263033146175631,0.8136924878918566,0.26909966456072115
59,5,0.626360669028379,0.1676927672482968,0.626360669028379,0.17126638902524552
